Arquivo,Metodo,Threads,Ocorrencias,TempoMs
amostras\DonQuixote-388208.txt,SerialCPU,1,188,127
amostras\DonQuixote-388208.txt,SerialCPU,1,188,86
amostras\DonQuixote-388208.txt,SerialCPU,1,188,53
amostras\DonQuixote-388208.txt,ParallelCPU,1,188,61
amostras\DonQuixote-388208.txt,ParallelCPU,1,188,48
amostras\DonQuixote-388208.txt,ParallelCPU,1,188,44
amostras\DonQuixote-388208.txt,ParallelCPU,2,188,45
amostras\DonQuixote-388208.txt,ParallelCPU,2,188,161
amostras\DonQuixote-388208.txt,ParallelCPU,2,188,69
amostras\DonQuixote-388208.txt,ParallelCPU,4,188,40
amostras\DonQuixote-388208.txt,ParallelCPU,4,188,40
amostras\DonQuixote-388208.txt,ParallelCPU,4,188,71
amostras\DonQuixote-388208.txt,ParallelCPU,8,188,37
amostras\DonQuixote-388208.txt,ParallelCPU,8,188,37
amostras\DonQuixote-388208.txt,ParallelCPU,8,188,76
amostras\DonQuixote-388208.txt,ParallelCPU,12,188,37
amostras\DonQuixote-388208.txt,ParallelCPU,12,188,38
amostras\DonQuixote-388208.txt,ParallelCPU,12,188,90
amostras\DonQuixote-388208.txt,ParallelCPU,16,188,47
amostras\DonQuixote-388208.txt,ParallelCPU,16,188,67
amostras\DonQuixote-388208.txt,ParallelCPU,16,188,61
amostras\DonQuixote-388208.txt,ParallelCPU,24,188,46
amostras\DonQuixote-388208.txt,ParallelCPU,24,188,50
amostras\DonQuixote-388208.txt,ParallelCPU,24,188,50
amostras\DonQuixote-388208.txt,ParallelGPU,1,188,254
amostras\DonQuixote-388208.txt,ParallelGPU,1,188,12
amostras\DonQuixote-388208.txt,ParallelGPU,1,188,3
amostras\DonQuixote-388208.txt,SerialCPU,1,188,97
amostras\DonQuixote-388208.txt,SerialCPU,1,188,42
amostras\DonQuixote-388208.txt,SerialCPU,1,188,42
amostras\DonQuixote-388208.txt,ParallelCPU,1,188,41
amostras\DonQuixote-388208.txt,ParallelCPU,1,188,41
amostras\DonQuixote-388208.txt,ParallelCPU,1,188,43
amostras\DonQuixote-388208.txt,ParallelCPU,2,188,43
amostras\DonQuixote-388208.txt,ParallelCPU,2,188,126
amostras\DonQuixote-388208.txt,ParallelCPU,2,188,39
amostras\DonQuixote-388208.txt,ParallelCPU,4,188,37
amostras\DonQuixote-388208.txt,ParallelCPU,4,188,39
amostras\DonQuixote-388208.txt,ParallelCPU,4,188,38
amostras\DonQuixote-388208.txt,ParallelCPU,8,188,39
amostras\DonQuixote-388208.txt,ParallelCPU,8,188,40
amostras\DonQuixote-388208.txt,ParallelCPU,8,188,140
amostras\DonQuixote-388208.txt,ParallelCPU,12,188,82
amostras\DonQuixote-388208.txt,ParallelCPU,12,188,46
amostras\DonQuixote-388208.txt,ParallelCPU,12,188,48
amostras\DonQuixote-388208.txt,ParallelCPU,16,188,46
amostras\DonQuixote-388208.txt,ParallelCPU,16,188,46
amostras\DonQuixote-388208.txt,ParallelCPU,16,188,44
amostras\DonQuixote-388208.txt,ParallelCPU,24,188,45
amostras\DonQuixote-388208.txt,ParallelCPU,24,188,138
amostras\DonQuixote-388208.txt,ParallelCPU,24,188,42
amostras\DonQuixote-388208.txt,ParallelGPU,1,188,5
amostras\DonQuixote-388208.txt,ParallelGPU,1,188,4
amostras\DonQuixote-388208.txt,ParallelGPU,1,188,4
amostras\DonQuixote-388208.txt,SerialCPU,1,188,41
amostras\DonQuixote-388208.txt,SerialCPU,1,188,42
amostras\DonQuixote-388208.txt,SerialCPU,1,188,42
amostras\DonQuixote-388208.txt,ParallelCPU,1,188,40
amostras\DonQuixote-388208.txt,ParallelCPU,1,188,41
amostras\DonQuixote-388208.txt,ParallelCPU,1,188,43
amostras\DonQuixote-388208.txt,ParallelCPU,2,188,39
amostras\DonQuixote-388208.txt,ParallelCPU,2,188,40
amostras\DonQuixote-388208.txt,ParallelCPU,2,188,187
amostras\DonQuixote-388208.txt,ParallelCPU,4,188,57
amostras\DonQuixote-388208.txt,ParallelCPU,4,188,39
amostras\DonQuixote-388208.txt,ParallelCPU,4,188,38
amostras\DonQuixote-388208.txt,ParallelCPU,8,188,40
amostras\DonQuixote-388208.txt,ParallelCPU,8,188,42
amostras\DonQuixote-388208.txt,ParallelCPU,8,188,42
amostras\DonQuixote-388208.txt,ParallelCPU,12,188,114
amostras\DonQuixote-388208.txt,ParallelCPU,12,188,67
amostras\DonQuixote-388208.txt,ParallelCPU,12,188,39
amostras\DonQuixote-388208.txt,ParallelCPU,16,188,84
amostras\DonQuixote-388208.txt,ParallelCPU,16,188,46
amostras\DonQuixote-388208.txt,ParallelCPU,16,188,54
amostras\DonQuixote-388208.txt,ParallelCPU,24,188,48
amostras\DonQuixote-388208.txt,ParallelCPU,24,188,54
